premises,conclusion,probability
"FilamentoNonEsce,RumoreStrano",EstrusoreOstruito,0.85
PrimoStratoNonAderisce,PiattoNonLivellato,0.9
TemperaturaInstabile,Surriscaldamento,0.75
RumoreStrano,CavoInterrotto,0.4
StampanteNonAccende,AlimentatoreGuasto,0.9
"RiavviiCasuali,LuciIntermittenti",AlimentatoreInstabile,0.8
"ErroreTemperatura,TemperaturaNonStabile",SensoreDeragliato,0.85
ErroreTemperatura,SensoreRotto,0.7
"StratiSpostati,RumorePasso",PerditaPassi,0.9
StratiSpostati,MotoreBloccato,0.6
HomeFallito,FinecorsaGuasto,0.95
"HomeFallito,Collisione",FinecorsaFalsoContatto,0.8
SovratemperaturaEstrusore,VentolaBloccata,0.9
StratiDeformati,VentolaRumorosa,0.5
"FilamentoSalta,EstrusioneIntermittente",IngranaggioConsumato,0.75
EstrusioneIntermittente,TuboIntasato,0.8
"PrimoStratoNonAderisce,Warping",PiattoNonRiscalda,0.85
TempoRiscaldamentoLungo,PiattoSurriscalda,0.6
"SchermoNero,IconeCongelate",DisplayGuasto,0.85
TouchNonRisponde,TouchNonRisponde,0.9
"ErroreLetturaSD,StampaNonAvvia",SchedaNonRilevata,0.8
FileCorrotti,FileCorrotti,0.75
"SpegnimentoImprovviso,OdoreBruciato",Cortocircuito,0.95
FunzionamentoIntermittente,ConnettoreAllentato,0.7
"VibrazioniEccessive,RumoreMeccanico",VitiAllentate,0.8
OffsetAssi,TelaioDeformato,0.6
"SurriscaldamentoDriver,SpegnimentoTermico",VentolaElettronicaGuasta,0.85
"StampaFerma,AllarmeContinuo",SensoreFilamentoFalsoAllarme,0.9
"LivellamentoFallito,PrimoStratoIrregolare",SondaBloccata,0.8
"ComandiIgnorati,MovimentiAnomali",FirmwareCorrotto,0.95
TemperaturaFissa,ParametriErrati,0.7
RiavviiCasuali,AlimentatoreInstabile,0.3
LuciIntermittenti,AlimentatoreInstabile,0.2

